time,global step,score
00h 02m 43s,383619,-97.0
00h 02m 43s,384046,-95.0
00h 02m 43s,384358,-95.0
00h 02m 44s,385274,-95.0
00h 02m 44s,385733,-89.0
00h 02m 44s,386103,-95.0
00h 02m 45s,387994,-97.0
00h 02m 46s,389492,-89.0
00h 02m 46s,390368,-95.0
00h 02m 47s,391630,-83.0
00h 02m 47s,392039,-93.0
00h 02m 48s,393452,-93.0
00h 02m 48s,394225,-91.0
00h 02m 49s,396339,-97.0
00h 02m 50s,396727,-89.0
00h 02m 50s,396963,-93.0
00h 02m 51s,398660,-85.0
00h 02m 51s,399198,-87.0
00h 02m 52s,402219,-85.0
00h 02m 53s,403130,-89.0
00h 02m 54s,405046,-95.0
00h 03m 02s,422628,-89.0
00h 03m 02s,422646,-87.0
00h 03m 03s,423736,-97.0
00h 03m 03s,423901,-93.0
00h 03m 04s,425371,-99.0
00h 03m 06s,429302,-95.0
00h 03m 06s,430674,-89.0
00h 03m 09s,434617,-83.0
00h 03m 11s,438459,-71.0
00h 03m 12s,441422,-93.0
00h 03m 12s,441860,-93.0
00h 03m 13s,442564,-91.0
00h 03m 13s,442821,-95.0
00h 03m 13s,443169,-91.0
00h 03m 14s,445842,-93.0
00h 03m 15s,447100,-89.0
00h 03m 16s,448579,-91.0
00h 03m 16s,449935,-91.0
00h 03m 18s,454077,-91.0
00h 03m 18s,454136,-83.0
00h 03m 18s,454336,-89.0
00h 03m 19s,455052,-87.0
00h 03m 19s,455763,-75.0
00h 03m 20s,456897,-91.0
00h 03m 20s,457688,-87.0
00h 03m 20s,457799,-87.0
00h 03m 20s,458064,-77.0
00h 03m 22s,461254,-85.0
00h 03m 22s,462175,-91.0
00h 03m 23s,463769,-95.0
00h 03m 25s,467668,-97.0
00h 03m 26s,469678,-85.0
00h 03m 30s,477732,-75.0
00h 03m 31s,479036,-89.0
00h 03m 32s,481017,-85.0
00h 03m 35s,486307,-99.0
00h 03m 35s,487386,-99.0
00h 03m 36s,489139,-77.0
00h 03m 37s,491080,-91.0
00h 03m 38s,493054,-99.0
00h 03m 39s,494728,-93.0
00h 03m 39s,495498,-89.0
00h 03m 39s,495573,-91.0
00h 03m 40s,497610,-91.0
00h 03m 41s,500226,-97.0
00h 03m 43s,502799,-93.0
00h 03m 43s,504242,-99.0
00h 03m 44s,504459,-95.0
00h 03m 45s,506483,-97.0
00h 03m 45s,506879,-81.0
00h 03m 46s,508517,-93.0
00h 03m 46s,508576,-99.0
00h 03m 48s,513382,-87.0
00h 03m 49s,514548,-97.0
00h 03m 49s,515731,-93.0
00h 03m 51s,519572,-91.0
00h 03m 51s,519724,-95.0
00h 03m 52s,522134,-89.0
00h 03m 53s,522797,-85.0
00h 03m 53s,524242,-79.0
00h 03m 54s,526315,-85.0
00h 03m 55s,528402,-85.0
00h 03m 57s,530890,-91.0
00h 03m 58s,534049,-99.0
00h 03m 58s,534211,-93.0
00h 04m 01s,539018,-91.0
00h 04m 02s,541633,-85.0
00h 04m 02s,542430,-99.0
00h 04m 03s,543794,-73.0
00h 04m 03s,544004,-99.0
00h 04m 04s,545551,-89.0
00h 04m 04s,545957,-85.0
00h 04m 05s,546572,-87.0
00h 04m 05s,547719,-97.0
00h 04m 08s,553067,-97.0
00h 04m 12s,560835,-93.0
00h 04m 12s,560845,-81.0
00h 04m 12s,561081,-89.0
00h 04m 12s,561457,-99.0
00h 04m 12s,561530,-97.0
00h 04m 13s,564032,-93.0
00h 04m 16s,570260,-93.0
00h 04m 17s,571232,-85.0
00h 04m 17s,571276,-83.0
00h 04m 18s,572956,-85.0
00h 04m 18s,573612,-83.0
00h 04m 18s,573628,-81.0
00h 04m 19s,574753,-91.0
00h 04m 19s,576115,-85.0
00h 04m 20s,578258,-93.0
00h 04m 21s,580393,-97.0
00h 04m 23s,584038,-77.0
00h 04m 24s,585264,-91.0
00h 04m 25s,586868,-75.0
00h 04m 26s,588987,-99.0
00h 04m 27s,592087,-89.0
00h 04m 28s,593167,-85.0
00h 04m 29s,594839,-85.0
00h 04m 29s,595532,-93.0
00h 04m 30s,597871,-93.0
00h 04m 31s,599946,-93.0
00h 04m 32s,602145,-83.0
00h 04m 33s,602648,-95.0
00h 04m 33s,603518,-89.0
00h 04m 33s,604159,-79.0
00h 04m 34s,604999,-95.0
00h 04m 36s,609322,-97.0
00h 04m 37s,610879,-95.0
00h 04m 37s,611153,-79.0
00h 04m 38s,612721,-89.0
00h 04m 40s,617743,-99.0
00h 04m 41s,619578,-99.0
00h 04m 42s,620511,-91.0
00h 04m 42s,620817,-99.0
00h 04m 44s,625577,-93.0
00h 04m 45s,626670,-87.0
00h 04m 45s,628305,-95.0
00h 04m 47s,631934,-91.0
00h 04m 47s,632131,-85.0
00h 04m 48s,633709,-87.0
00h 04m 48s,633744,-85.0
00h 04m 50s,636329,-87.0
00h 04m 50s,637910,-89.0
00h 04m 51s,638514,-91.0
00h 04m 52s,640432,-87.0
00h 04m 54s,644794,-93.0
00h 04m 55s,647665,-89.0
00h 04m 55s,647839,-85.0
00h 04m 58s,652588,-89.0
00h 04m 59s,655558,-83.0
00h 05m 00s,656771,-89.0
00h 05m 01s,659178,-87.0
00h 05m 02s,660941,-77.0
00h 05m 02s,661145,-87.0
00h 05m 03s,662183,-93.0
00h 05m 04s,665082,-83.0
00h 05m 04s,665982,-87.0
00h 05m 05s,666613,-85.0
00h 05m 05s,667557,-87.0
00h 05m 06s,669428,-91.0
00h 05m 07s,671596,-77.0
00h 05m 08s,673233,-95.0
00h 05m 09s,674562,-77.0
00h 05m 10s,676344,-95.0
00h 05m 11s,679819,-97.0
00h 05m 11s,680254,-83.0
00h 05m 13s,683370,-91.0
00h 05m 13s,683582,-95.0
00h 05m 13s,684083,-85.0
00h 05m 16s,689365,-85.0
00h 05m 16s,689462,-89.0
00h 05m 18s,693412,-79.0
00h 05m 20s,697754,-83.0
00h 05m 21s,698938,-81.0
00h 05m 21s,698954,-99.0
00h 05m 22s,700697,-81.0
00h 05m 22s,702211,-87.0
00h 05m 23s,704201,-83.0
00h 05m 24s,706124,-81.0
00h 05m 26s,708420,-99.0
00h 05m 27s,710413,-79.0
00h 05m 27s,711533,-87.0
00h 05m 28s,712592,-93.0
00h 05m 29s,714788,-87.0
00h 05m 30s,717240,-97.0
00h 05m 31s,719538,-91.0
00h 05m 32s,722299,-93.0
00h 05m 33s,724325,-81.0
00h 05m 35s,728174,-91.0
00h 05m 36s,729081,-87.0
00h 05m 36s,729529,-95.0
00h 05m 36s,729779,-89.0
00h 05m 37s,731115,-93.0
00h 05m 37s,732123,-75.0
00h 05m 38s,733214,-99.0
00h 05m 38s,733380,-87.0
00h 05m 38s,733704,-97.0
00h 05m 40s,738123,-93.0
00h 05m 41s,739799,-93.0
00h 05m 45s,748275,-71.0
00h 05m 46s,749304,-89.0
00h 05m 46s,749461,-89.0
00h 05m 46s,750040,-75.0
00h 05m 46s,750150,-97.0
00h 05m 47s,752312,-87.0
00h 05m 49s,754631,-93.0
00h 05m 49s,755486,-91.0
00h 05m 51s,759410,-99.0
00h 05m 51s,760115,-85.0
00h 05m 52s,760331,-99.0
00h 05m 53s,763935,-95.0
00h 05m 56s,768242,-79.0
00h 05m 57s,770671,-65.0
00h 05m 57s,771703,-93.0
00h 05m 58s,772558,-77.0
00h 05m 58s,773625,-97.0
00h 05m 58s,774150,-91.0
00h 06m 00s,777326,-99.0
00h 06m 02s,780488,-93.0
00h 06m 03s,784223,-95.0
00h 06m 04s,785920,-93.0
00h 06m 06s,789472,-97.0
00h 06m 06s,789694,-93.0
00h 06m 06s,790136,-99.0
00h 06m 07s,790927,-91.0
00h 06m 07s,791671,-97.0
00h 06m 08s,792341,-89.0
00h 06m 08s,793413,-79.0
00h 06m 10s,796753,-75.0
00h 06m 10s,797297,-99.0
00h 06m 13s,803938,-75.0
00h 06m 14s,804998,-93.0
00h 06m 15s,807387,-95.0
00h 06m 16s,809666,-93.0
00h 06m 16s,810012,-81.0
00h 06m 17s,810706,-99.0
00h 06m 18s,812485,-93.0
00h 06m 18s,812767,-83.0
00h 06m 19s,815352,-95.0
00h 06m 20s,816748,-99.0
00h 06m 22s,820546,-85.0
00h 06m 22s,821856,-87.0
00h 06m 23s,823300,-99.0
00h 06m 23s,823589,-95.0
00h 06m 24s,825329,-95.0
00h 06m 26s,829713,-81.0
00h 06m 27s,831576,-75.0
00h 06m 28s,832755,-99.0
00h 06m 28s,833967,-65.0
00h 06m 29s,834751,-97.0
00h 06m 30s,837484,-89.0
00h 06m 33s,843321,-99.0
00h 06m 33s,843968,-91.0
00h 06m 34s,846193,-91.0
00h 06m 35s,846632,-89.0
00h 06m 35s,847713,-99.0
00h 06m 36s,849846,-99.0
00h 06m 36s,850061,-95.0
00h 06m 37s,850403,-91.0
00h 06m 38s,852494,-73.0
00h 06m 39s,854994,-83.0
00h 06m 40s,856176,-91.0
00h 06m 40s,857887,-97.0
00h 06m 40s,857899,-93.0
00h 06m 41s,859162,-85.0
00h 06m 44s,864762,-99.0
00h 06m 45s,866676,-73.0
00h 06m 45s,867106,-87.0
00h 06m 46s,868398,-83.0
00h 06m 47s,870221,-83.0
00h 06m 49s,875951,-83.0
00h 06m 50s,877518,-69.0
00h 06m 51s,878016,-81.0
00h 06m 53s,882709,-91.0
00h 06m 54s,884819,-81.0
00h 06m 54s,885813,-99.0
00h 06m 55s,886278,-95.0
00h 06m 56s,889416,-89.0
00h 06m 59s,895481,-87.0
00h 07m 01s,898970,-99.0
00h 07m 01s,899645,-87.0
00h 07m 02s,900338,-75.0
00h 07m 02s,901539,-83.0
00h 07m 03s,902587,-99.0
00h 07m 04s,904974,-93.0
00h 07m 04s,904977,-91.0
00h 07m 04s,905808,-95.0
00h 07m 06s,908178,-81.0
00h 07m 07s,910441,-99.0
00h 07m 07s,911633,-95.0
00h 07m 07s,911969,-91.0
00h 07m 09s,914297,-91.0
00h 07m 09s,914756,-99.0
00h 07m 09s,915518,-97.0
00h 07m 12s,920191,-95.0
00h 07m 12s,921860,-85.0
00h 07m 13s,922666,-79.0
00h 07m 13s,923542,-95.0
00h 07m 14s,925041,-83.0
00h 07m 14s,925140,-97.0
00h 07m 15s,926599,-83.0
00h 07m 16s,928207,-83.0
00h 07m 16s,928537,-95.0
00h 07m 16s,930103,-91.0
00h 07m 17s,930223,-93.0
00h 07m 19s,934863,-99.0
00h 07m 19s,935557,-83.0
00h 07m 20s,937071,-75.0
00h 07m 24s,944929,-89.0
00h 07m 25s,946919,-91.0
00h 07m 26s,948605,-97.0
00h 07m 26s,949006,-87.0
00h 07m 28s,953034,-69.0
00h 07m 31s,959609,-99.0
00h 07m 32s,960098,-93.0
00h 07m 32s,960662,-75.0
00h 07m 32s,960736,-83.0
00h 07m 33s,962924,-89.0
00h 07m 34s,965040,-97.0
00h 07m 36s,967998,-89.0
00h 07m 36s,969090,-79.0
00h 07m 37s,970377,-79.0
00h 07m 37s,970565,-75.0
00h 07m 39s,974001,-95.0
00h 07m 39s,974426,-79.0
00h 07m 39s,974611,-99.0
00h 07m 39s,975513,-77.0
00h 07m 41s,979114,-97.0
00h 07m 42s,979873,-95.0
00h 07m 42s,981412,-93.0
00h 07m 43s,983202,-89.0
00h 07m 43s,983421,-89.0
00h 07m 45s,986343,-99.0
00h 07m 45s,987411,-99.0
00h 07m 46s,988891,-97.0
00h 07m 46s,989373,-81.0
00h 07m 47s,991177,-77.0
00h 07m 48s,991834,-87.0
00h 07m 50s,996638,-91.0
00h 07m 52s,1000657,-95.0
00h 07m 52s,1000668,-91.0
00h 07m 53s,1002651,-91.0
00h 07m 54s,1004827,-85.0
00h 07m 54s,1005535,-99.0
00h 07m 56s,1007904,-97.0
00h 07m 56s,1008547,-77.0
00h 07m 56s,1008854,-89.0
00h 07m 57s,1011414,-85.0
00h 08m 00s,1016142,-79.0
00h 08m 02s,1021446,-73.0
00h 08m 04s,1023726,-95.0
00h 08m 04s,1024776,-75.0
00h 08m 04s,1024795,-95.0
00h 08m 05s,1027291,-95.0
00h 08m 08s,1031625,-89.0
00h 08m 09s,1033676,-81.0
00h 08m 09s,1034570,-79.0
00h 08m 09s,1034583,-91.0
