time,global step,score
23h 59m 56s,6327,0.0
23h 59m 56s,6329,1.0
23h 59m 56s,6348,0.0
23h 59m 56s,6353,0.0
23h 59m 56s,6412,0.0
23h 59m 56s,6422,2.0
23h 59m 56s,6429,0.0
23h 59m 56s,6443,1.0
23h 59m 56s,6453,0.0
23h 59m 56s,6522,0.0
23h 59m 56s,6532,0.0
23h 59m 56s,6548,0.0
23h 59m 56s,6567,0.0
23h 59m 56s,6591,1.0
23h 59m 56s,6618,1.0
23h 59m 56s,6644,0.0
23h 59m 56s,6693,0.0
23h 59m 56s,6880,0.0
23h 59m 56s,6887,0.0
23h 59m 56s,6957,0.0
23h 59m 56s,6964,0.0
23h 59m 56s,6985,0.0
23h 59m 56s,6989,0.0
23h 59m 56s,6990,0.0
23h 59m 56s,6995,0.0
23h 59m 56s,6994,0.0
23h 59m 56s,7006,1.0
23h 59m 56s,7047,0.0
23h 59m 56s,7060,0.0
23h 59m 56s,7065,0.0
23h 59m 56s,7100,0.0
23h 59m 56s,7102,0.0
23h 59m 56s,7157,0.0
23h 59m 56s,7160,0.0
23h 59m 56s,7165,1.0
23h 59m 56s,7166,0.0
23h 59m 56s,7198,0.0
23h 59m 56s,7268,1.0
23h 59m 56s,7310,2.0
23h 59m 56s,7329,0.0
23h 59m 56s,7342,0.0
23h 59m 57s,7409,0.0
23h 59m 57s,7491,0.0
23h 59m 57s,7527,0.0
23h 59m 57s,7609,0.0
23h 59m 57s,7645,0.0
23h 59m 57s,7642,0.0
23h 59m 57s,7648,0.0
23h 59m 57s,7665,0.0
23h 59m 57s,7667,0.0
23h 59m 57s,7682,0.0
23h 59m 57s,7706,0.0
23h 59m 57s,7719,0.0
23h 59m 57s,7731,1.0
23h 59m 57s,7771,0.0
23h 59m 57s,7806,0.0
23h 59m 57s,7828,0.0
23h 59m 57s,7843,0.0
23h 59m 57s,7870,0.0
23h 59m 57s,7875,0.0
23h 59m 57s,7906,0.0
23h 59m 57s,7907,2.0
23h 59m 57s,7940,1.0
23h 59m 57s,7964,0.0
23h 59m 57s,8074,0.0
23h 59m 57s,8079,0.0
23h 59m 57s,8100,2.0
23h 59m 57s,8156,0.0
23h 59m 57s,8163,0.0
23h 59m 57s,8253,0.0
23h 59m 57s,8264,0.0
23h 59m 57s,8265,0.0
23h 59m 57s,8267,0.0
23h 59m 57s,8283,0.0
23h 59m 57s,8303,0.0
23h 59m 57s,8328,0.0
23h 59m 57s,8342,0.0
23h 59m 57s,8368,0.0
23h 59m 57s,8371,0.0
23h 59m 57s,8391,0.0
23h 59m 57s,8446,0.0
23h 59m 57s,8452,0.0
23h 59m 57s,8480,0.0
23h 59m 57s,8503,0.0
23h 59m 57s,8511,0.0
23h 59m 57s,8514,0.0
23h 59m 57s,8515,0.0
23h 59m 57s,8564,0.0
23h 59m 57s,8625,1.0
23h 59m 57s,8730,0.0
23h 59m 57s,8764,0.0
23h 59m 57s,8788,1.0
23h 59m 57s,8817,0.0
23h 59m 57s,8832,0.0
23h 59m 57s,8852,0.0
23h 59m 57s,8855,0.0
23h 59m 57s,8899,0.0
23h 59m 57s,8909,0.0
23h 59m 57s,8934,0.0
23h 59m 57s,8944,1.0
23h 59m 57s,8981,0.0
23h 59m 57s,8982,0.0
23h 59m 57s,8988,0.0
23h 59m 57s,9020,0.0
23h 59m 57s,9038,0.0
23h 59m 57s,9069,0.0
23h 59m 57s,9114,0.0
23h 59m 57s,9144,0.0
23h 59m 57s,9191,0.0
23h 59m 57s,9193,1.0
23h 59m 57s,9197,0.0
23h 59m 57s,9206,0.0
23h 59m 57s,9214,0.0
23h 59m 57s,9215,0.0
23h 59m 57s,9232,0.0
23h 59m 57s,9366,1.0
23h 59m 57s,9374,0.0
23h 59m 57s,9389,0.0
23h 59m 58s,9465,3.0
23h 59m 58s,9507,0.0
23h 59m 58s,9522,0.0
23h 59m 58s,9568,0.0
23h 59m 58s,9589,0.0
23h 59m 58s,9610,0.0
23h 59m 58s,9623,0.0
23h 59m 58s,9724,0.0
23h 59m 58s,9732,0.0
23h 59m 58s,9735,0.0
23h 59m 58s,9764,1.0
23h 59m 58s,9767,0.0
23h 59m 58s,9767,0.0
23h 59m 58s,9769,0.0
23h 59m 58s,9783,0.0
23h 59m 58s,9884,0.0
23h 59m 58s,9895,0.0
23h 59m 58s,9900,0.0
23h 59m 58s,9921,0.0
23h 59m 58s,9922,0.0
23h 59m 58s,9971,0.0
23h 59m 58s,9975,0.0
23h 59m 58s,10005,0.0
23h 59m 58s,10044,0.0
23h 59m 58s,10049,0.0
23h 59m 58s,10079,2.0
23h 59m 58s,10211,0.0
23h 59m 58s,10218,0.0
23h 59m 58s,10238,0.0
23h 59m 58s,10240,1.0
23h 59m 58s,10273,1.0
23h 59m 58s,10296,0.0
23h 59m 58s,10340,0.0
23h 59m 58s,10345,0.0
23h 59m 58s,10365,0.0
23h 59m 58s,10392,1.0
23h 59m 58s,10403,0.0
23h 59m 58s,10404,0.0
23h 59m 58s,10423,0.0
23h 59m 58s,10431,0.0
23h 59m 58s,10440,0.0
23h 59m 58s,10464,0.0
23h 59m 58s,10520,0.0
23h 59m 58s,10552,0.0
23h 59m 58s,10562,0.0
23h 59m 58s,10571,0.0
23h 59m 58s,10593,0.0
23h 59m 58s,10620,0.0
23h 59m 58s,10624,0.0
23h 59m 58s,10660,0.0
23h 59m 58s,10707,0.0
23h 59m 58s,10739,1.0
23h 59m 58s,10832,0.0
23h 59m 58s,10836,0.0
23h 59m 58s,10858,0.0
23h 59m 58s,10896,0.0
23h 59m 58s,10929,0.0
23h 59m 58s,10956,0.0
23h 59m 58s,10968,0.0
23h 59m 58s,10979,0.0
23h 59m 58s,11047,0.0
23h 59m 58s,11050,0.0
23h 59m 58s,11061,0.0
23h 59m 58s,11103,0.0
23h 59m 58s,11107,0.0
23h 59m 58s,11108,0.0
23h 59m 58s,11247,0.0
23h 59m 58s,11297,1.0
23h 59m 58s,11306,0.0
23h 59m 58s,11308,0.0
23h 59m 58s,11309,0.0
23h 59m 58s,11314,0.0
23h 59m 58s,11317,0.0
23h 59m 58s,11323,0.0
23h 59m 58s,11327,0.0
23h 59m 58s,11334,0.0
23h 59m 58s,11339,1.0
23h 59m 58s,11387,0.0
23h 59m 58s,11458,1.0
23h 59m 58s,11516,0.0
23h 59m 58s,11523,1.0
23h 59m 58s,11546,0.0
23h 59m 58s,11553,0.0
23h 59m 59s,11569,0.0
23h 59m 59s,11611,0.0
23h 59m 59s,11641,0.0
23h 59m 59s,11652,0.0
23h 59m 59s,11655,0.0
23h 59m 59s,11669,0.0
23h 59m 59s,11672,0.0
23h 59m 59s,11762,0.0
23h 59m 59s,11776,1.0
23h 59m 59s,11781,0.0
23h 59m 59s,11814,0.0
23h 59m 59s,11922,0.0
23h 59m 59s,11938,0.0
23h 59m 59s,11958,0.0
23h 59m 59s,11970,0.0
23h 59m 59s,11974,0.0
23h 59m 59s,11979,0.0
23h 59m 59s,12018,0.0
23h 59m 59s,12021,0.0
23h 59m 59s,12030,1.0
23h 59m 59s,12034,0.0
23h 59m 59s,12044,1.0
23h 59m 59s,12142,0.0
23h 59m 59s,12152,0.0
23h 59m 59s,12162,0.0
23h 59m 59s,12167,0.0
23h 59m 59s,12204,0.0
23h 59m 59s,12211,0.0
23h 59m 59s,12233,0.0
23h 59m 59s,12252,0.0
23h 59m 59s,12297,0.0
23h 59m 59s,12316,0.0
23h 59m 59s,12344,0.0
23h 59m 59s,12379,0.0
23h 59m 59s,12398,0.0
23h 59m 59s,12411,2.0
23h 59m 59s,12434,0.0
23h 59m 59s,12459,0.0
23h 59m 59s,12535,0.0
23h 59m 59s,12537,0.0
23h 59m 59s,12561,0.0
23h 59m 59s,12564,0.0
23h 59m 59s,12590,0.0
23h 59m 59s,12650,0.0
23h 59m 59s,12671,0.0
23h 59m 59s,12677,1.0
23h 59m 59s,12678,0.0
23h 59m 59s,12796,0.0
23h 59m 59s,12827,1.0
23h 59m 59s,12846,0.0
23h 59m 59s,12849,0.0
23h 59m 59s,12864,0.0
23h 59m 59s,12869,0.0
23h 59m 59s,12916,0.0
23h 59m 59s,13002,0.0
23h 59m 59s,13064,0.0
23h 59m 59s,13124,0.0
23h 59m 59s,13138,0.0
23h 59m 59s,13140,0.0
23h 59m 59s,13167,0.0
23h 59m 59s,13174,2.0
23h 59m 59s,13179,0.0
23h 59m 59s,13185,0.0
23h 59m 59s,13192,0.0
23h 59m 59s,13235,0.0
